Date       ,Time    ,League                ,Season  ,Match Day ,home_team                                   ,away_team ,goal_minute ,team_side ,player_name                 ,goal_type
22/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       26 ,Express FC Vs Onduparaka FC                 ,          ,51          ,away      ,Shaban Mohammad Jagason     ,Regular
01/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       27 ,Arua Hill SC Vs Mbarara City FC             ,          ,25          ,away      ,Solomon Ali Okwalinga       ,Penalty
01/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       27 ,Arua Hill SC Vs Mbarara City FC             ,          ,32          ,home      ,Ivan Eyamu                  ,Regular
01/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       27 ,Arua Hill SC Vs Mbarara City FC             ,          ,84          ,home      ,Alfred Leku                 ,Regular
01/02/2022 ,3:00 pm ,Uganda Premier League ,2021/22 ,        3 ,Soltilo Bright Stars FC Vs URA FC           ,          ,26          ,away      ,Viane Ssekajugo             ,Regular
01/02/2022 ,3:00 pm ,Uganda Premier League ,2021/22 ,        3 ,Soltilo Bright Stars FC Vs URA FC           ,          ,58          ,away      ,Steven Dese Mukwala         ,Regular
01/02/2022 ,3:00 pm ,Uganda Premier League ,2021/22 ,        3 ,Soltilo Bright Stars FC Vs URA FC           ,          ,90          ,away      ,Steven Dese Mukwala         ,Regular
04/01/2022 ,3:00 pm ,Uganda Premier League ,2021/22 ,       14 ,UPDF FC Vs Police FC                        ,          ,52          ,away      ,Emmanuel Mugume             ,Regular
06/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       16 ,UPDF FC Vs SC Villa                         ,          ,            ,          ,                            ,
22/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       12 ,Busoga United FC Vs SC Villa                ,          ,16          ,away      ,Salim Abdallah              ,Penalty
21/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       12 ,Soltilo Bright Stars FC Vs Vipers SC        ,          ,6           ,away      ,Yunus Junior Ssentamu       ,Regular
25/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       22 ,Busoga United FC Vs BUL FC                  ,          ,5           ,home      ,Isaac Wagoina               ,Regular
25/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       22 ,Busoga United FC Vs BUL FC                  ,          ,89          ,away      ,Abdul Karim Ndugwa          ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,KCCA FC Vs BUL FC                           ,          ,45+1        ,home      ,Innocent Wafula Esimu       ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,KCCA FC Vs BUL FC                           ,          ,77          ,home      ,Charles Lwanga              ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,KCCA FC Vs BUL FC                           ,          ,80          ,home      ,Davis Kasirye               ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,KCCA FC Vs BUL FC                           ,          ,84          ,away      ,Musa Esenu                  ,Regular
12/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       25 ,URA FC Vs Vipers SC                         ,          ,26          ,away      ,Halidi Lwaliwa              ,Regular
12/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       25 ,URA FC Vs Vipers SC                         ,          ,36          ,away      ,Ceasar Lobi Manzoki         ,Penalty
12/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       25 ,URA FC Vs Vipers SC                         ,          ,62          ,away      ,Yunus Junior Ssentamu       ,Regular
20/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       26 ,Vipers SC Vs Gaddafi FC                     ,          ,11          ,home      ,Ceasar Lobi Manzoki         ,Regular
20/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       26 ,Vipers SC Vs Gaddafi FC                     ,          ,90          ,home      ,Ceasar Lobi Manzoki         ,Regular
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,SC Villa Vs Vipers SC                       ,          ,            ,          ,                            ,
26/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       22 ,Gaddafi FC Vs Police FC                     ,          ,            ,          ,                            ,
06/04/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       24 ,Soltilo Bright Stars FC Vs Busoga United FC ,          ,22          ,home      ,Joseph Janjali              ,Regular
06/04/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       24 ,Soltilo Bright Stars FC Vs Busoga United FC ,          ,36          ,away      ,Anwar Mustafa Ntege         ,Regular
04/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       24 ,BUL FC Vs URA FC                            ,          ,33          ,home      ,Richard Wandyaka            ,Regular
04/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       24 ,BUL FC Vs URA FC                            ,          ,55          ,home      ,Richard Wandyaka            ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,SC Villa Vs URA FC                          ,          ,3           ,home      ,Sadam Masereka              ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,SC Villa Vs URA FC                          ,          ,15          ,away      ,Viane Ssekajugo             ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,SC Villa Vs URA FC                          ,          ,43          ,home      ,Travis Mutyaba              ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,SC Villa Vs URA FC                          ,          ,88          ,away      ,Cromwel Rwothomio Abang     ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,15          ,away      ,Simon Peter Oketch          ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,36          ,home      ,Frank Kalanda               ,Penalty
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,44          ,away      ,Ibrahim Nsimbe              ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,73          ,away      ,Ibrahim Nsimbe              ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,80          ,away      ,Martin Aprem                ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,86          ,home      ,Frank Kalanda               ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,Police FC Vs BUL FC                         ,          ,90+4        ,away      ,Owen Mukisa                 ,Regular
17/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        1 ,Wakiso Giants FC Vs KCCA FC                 ,          ,7           ,away      ,Sadat Happy Anaku Ada       ,Regular
17/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        1 ,Wakiso Giants FC Vs KCCA FC                 ,          ,32          ,away      ,Davis Kasirye               ,Regular
17/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        1 ,Wakiso Giants FC Vs KCCA FC                 ,          ,55          ,away      ,Ashraf Mugume               ,Regular
03/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Express FC Vs KCCA FC                       ,          ,19          ,home      ,Martin Kizza                ,Regular
