Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
22/04/2023,4:00 pm,Uganda Premier League,2022/23,24,Arua Hill SC,Gaddafi FC,62,home,Ronald Media Innocent,Regular
16/12/2022,4:00 pm,Uganda Premier League,2022/23,14,Blacks Power FC,Onduparaka FC,25,home,Micheal Siwu Baggio,Penalty
16/12/2022,4:00 pm,Uganda Premier League,2022/23,14,Blacks Power FC,Onduparaka FC,53,away,Dominic Abonga,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,BUL FC,Maroons FC,34,home,Martin Aprem,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,BUL FC,Maroons FC,45,home,Ronald Otti,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,BUL FC,Maroons FC,65,home,Ivan Wani Adebo Vita,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,BUL FC,Maroons FC,69,home,Ibrahim Ceaser Kazindula,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,BUL FC,Maroons FC,72,home,Hillary Onek,Regular
09/05/2023,2:00 pm,Uganda Premier League,2022/23,16,Soltilo Bright Stars FC,Vipers SC,62,home,Emmanuel Peter Loki,Regular
25/10/2022,4:00 pm,Uganda Premier League,2022/23,5,Gaddafi FC,BUL FC,13,away,Ibrahim Ceaser Kazindula,Penalty
25/10/2022,4:00 pm,Uganda Premier League,2022/23,5,Gaddafi FC,BUL FC,61,home,Bakali Magumda,Regular
06/12/2022,4:00 pm,Uganda Premier League,2022/23,12,UPDF FC,URA FC,3,home,Hussein Hassan Zzinda,Regular
06/12/2022,4:00 pm,Uganda Premier League,2022/23,12,UPDF FC,URA FC,77,away,Eric Ssenjobe,Regular
19/05/2023,4:11 pm,Uganda Premier League,2022/23,29,Express FC,Maroons FC,48,home,Boban Bogere Zirintusa,Regular
19/05/2023,4:11 pm,Uganda Premier League,2022/23,29,Express FC,Maroons FC,89,home,Allan Thierry Kayiwa,Regular
05/03/2023,4:00 pm,Uganda Premier League,2022/23,18,Express FC,SC Villa,33,home,Allan Thierry Kayiwa,Regular
05/03/2023,4:00 pm,Uganda Premier League,2022/23,18,Express FC,SC Villa,37,away,David Owori,Regular
05/03/2023,4:00 pm,Uganda Premier League,2022/23,18,Express FC,SC Villa,77,away,Sheif Batte,Regular
18/04/2023,4:00 pm,Uganda Premier League,2022/23,23,Express FC,Busoga United FC,32,home,Denis Otim,Regular
18/04/2023,4:00 pm,Uganda Premier League,2022/23,23,Express FC,Busoga United FC,51,home,Joseph Akandwanaho,Regular
18/04/2023,4:00 pm,Uganda Premier League,2022/23,23,Express FC,Busoga United FC,83,home,Enock Ssebagala,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,UPDF FC,Onduparaka FC,24,away,Aziz Mandela Malish,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,UPDF FC,Onduparaka FC,34,away,John Rogers,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,UPDF FC,Onduparaka FC,59,home,Badru Jibril Nsimbe,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,UPDF FC,Onduparaka FC,81,away,Dominic Abonga,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,UPDF FC,Onduparaka FC,90+1,away,Bran Boy Fazillinoh,Regular
08/11/2022,4:00 pm,Uganda Premier League,2022/23,7,Gaddafi FC,Soltilo Bright Stars FC,5,home,Alex Kitata,Regular
08/11/2022,4:00 pm,Uganda Premier League,2022/23,7,Gaddafi FC,Soltilo Bright Stars FC,75,home,Alex Kitata,Regular
08/11/2022,4:00 pm,Uganda Premier League,2022/23,7,Gaddafi FC,Soltilo Bright Stars FC,81,home,Alex Kitata,Regular
01/10/2022,2:00 pm,Uganda Premier League,2022/23,1,Blacks Power FC,BUL FC,9,away,Abdul Karim Ndugwa,Regular
01/10/2022,2:00 pm,Uganda Premier League,2022/23,1,Blacks Power FC,BUL FC,18,away,Jeromy Kirya,Regular
01/10/2022,2:00 pm,Uganda Premier League,2022/23,1,Blacks Power FC,BUL FC,26,away,Richard Wandyaka,Regular
01/10/2022,2:00 pm,Uganda Premier League,2022/23,1,Blacks Power FC,BUL FC,29,away,Richard Wandyaka,Regular
01/10/2022,2:00 pm,Uganda Premier League,2022/23,1,Blacks Power FC,BUL FC,59,away,Abdul Karim Ndugwa,Regular
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Arua Hill SC,Express FC,12,home,Wahab Gadaffi,Regular
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Arua Hill SC,Express FC,26,home,Abdulahi Rashid Kawawa,Regular
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Arua Hill SC,Express FC,30,away,Anwar Mustafa Ntege,Regular
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Arua Hill SC,Express FC,58,home,Ronald Media Innocent,Regular
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Arua Hill SC,Express FC,75,home,Wahab Gadaffi,Regular
25/04/2023,4:00 pm,Uganda Premier League,2022/23,24,Soltilo Bright Stars FC,Express FC,17,home,Ibrahim Kasinde,Regular
25/04/2023,4:00 pm,Uganda Premier League,2022/23,24,Soltilo Bright Stars FC,Express FC,57,away,Allan Thierry Kayiwa,Penalty
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Vipers SC,SC Villa,22,home,Yunus Junior Ssentamu,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Vipers SC,SC Villa,87,home,AbdulKarim Watambala,Regular
02/05/2023,7:00 pm,Uganda Premier League,2022/23,26,Vipers SC,Gaddafi FC,23,home,Abubakar Lawal,Regular
02/05/2023,7:00 pm,Uganda Premier League,2022/23,26,Vipers SC,Gaddafi FC,77,home,Abdu Lumala,Regular
18/04/2023,2:00 pm,Uganda Premier League,2022/23,23,Gaddafi FC,Wakiso Giants FC,,,,
12/10/2022,4:00 pm,Uganda Premier League,2022/23,3,Gaddafi FC,Onduparaka FC,,,,
02/10/2022,2:00 pm,Uganda Premier League,2022/23,1,SC Villa,Gaddafi FC,17,home,Fred Gift,Regular
02/10/2022,2:00 pm,Uganda Premier League,2022/23,1,SC Villa,Gaddafi FC,88,away,Andrew Waiswa,Own Goal
26/10/2022,4:00 pm,Uganda Premier League,2022/23,5,URA FC,Soltilo Bright Stars FC,43,home,James Penz Begisa,Regular
26/10/2022,4:00 pm,Uganda Premier League,2022/23,5,URA FC,Soltilo Bright Stars FC,49,home,George Senkaaba,Regular
26/10/2022,4:00 pm,Uganda Premier League,2022/23,5,URA FC,Soltilo Bright Stars FC,66,away,Nelson Senkatuka,Regular
26/10/2022,4:00 pm,Uganda Premier League,2022/23,5,URA FC,Soltilo Bright Stars FC,87,away,Emmanuel Peter Loki,Regular
17/12/2022,2:00 pm,Uganda Premier League,2022/23,14,Vipers SC,BUL FC,17,away,Abdul Karim Ndugwa,Regular
17/12/2022,2:00 pm,Uganda Premier League,2022/23,14,Vipers SC,BUL FC,22,home,Milton Karisa,Regular
17/12/2022,2:00 pm,Uganda Premier League,2022/23,14,Vipers SC,BUL FC,34,home,Cromwel Rwothomio Abang,Regular
14/10/2022,4:00 pm,Uganda Premier League,2022/23,3,URA FC,BUL FC,2,away,Jeromy Kirya,Regular
14/10/2022,4:00 pm,Uganda Premier League,2022/23,3,URA FC,BUL FC,90+1,home,George Senkaaba,Regular
30/09/2022,4:00 pm,Uganda Premier League,2022/23,1,Vipers SC,Soltilo Bright Stars FC,,,,
